Wind speed [m/s],P_potential_kW
5.7,242.40000000000003
5.5,214.0
5.5,214.0
5.5,214.0
5.3,188.39999999999998
5.3,188.39999999999998
5.7,242.40000000000003
5.7,242.40000000000003
5.7,242.40000000000003
5.9,270.80000000000007
6.0,285.0
6.3,332.4
6.4,348.20000000000005
6.3,332.4
6.0,285.0
5.9,270.80000000000007
5.3,188.39999999999998
5.4,201.20000000000005
5.1,162.79999999999995
5.4,201.20000000000005
5.5,214.0
6.0,285.0
6.0,285.0
5.7,242.40000000000003
5.8,256.59999999999997
5.3,188.39999999999998
5.5,214.0
5.6,228.19999999999996
5.6,228.19999999999996
5.4,201.20000000000005
5.2,175.60000000000002
5.0,150.0
5.3,188.39999999999998
5.8,256.59999999999997
6.1,300.79999999999995
5.8,256.59999999999997
5.7,242.40000000000003
5.4,201.20000000000005
4.8,132.0
4.6,113.99999999999997
4.5,105.0
4.4,96.00000000000003
4.2,78.00000000000001
4.8,132.0
5.4,201.20000000000005
5.3,188.39999999999998
5.0,150.0
4.9,141.00000000000003
4.5,105.0
4.2,78.00000000000001
4.1,68.99999999999997
4.0,60.0
3.8,48.79999999999999
3.8,48.79999999999999
3.6,37.60000000000001
3.6,37.60000000000001
3.4,32.0
3.1,32.0
3.2,32.0
3.0,32.0
2.9,32.0
2.8,32.0
2.9,32.0
4.0,60.0
4.3,86.99999999999999
3.4,32.0
3.8,48.79999999999999
3.9,54.39999999999999
4.3,86.99999999999999
3.4,32.0
3.6,37.60000000000001
3.7,43.20000000000001
3.7,43.20000000000001
3.6,37.60000000000001
3.7,43.20000000000001
3.2,32.0
2.8,32.0
2.6,32.0
3.0,32.0
3.3,32.0
3.4,32.0
3.5,32.0
3.6,37.60000000000001
3.3,32.0
2.6,32.0
2.4,32.0
2.3,32.0
2.1,32.0
2.1,32.0
3.0,32.0
2.6,32.0
2.3,32.0
2.9,32.0
2.8,32.0
2.9,32.0
2.8,32.0
2.4,32.0
2.5,32.0
2.5,32.0
2.4,32.0
2.5,32.0
2.5,32.0
2.4,32.0
2.6,32.0
2.5,32.0
2.5,32.0
2.1,32.0
2.1,32.0
1.9,32.0
2.3,32.0
2.2,32.0
2.3,32.0
2.4,32.0
2.4,32.0
2.3,32.0
2.3,32.0
2.4,32.0
2.6,32.0
2.8,32.0
2.8,32.0
2.7,32.0
2.7,32.0
2.7,32.0
2.7,32.0
2.4,32.0
2.4,32.0
2.3,32.0
1.6,32.0
1.4,32.0
1.6,32.0
1.6,32.0
1.3,32.0
1.3,32.0
1.5,32.0
1.5,32.0
1.3,32.0
1.3,32.0
1.4,32.0
1.6,32.0
2.2,32.0
2.5,32.0
2.6,32.0
2.4,32.0
2.6,32.0
2.6,32.0
2.0,32.0
1.8,32.0
2.0,32.0
2.2,32.0
2.3,32.0
2.2,32.0
2.1,32.0
1.8,32.0
1.8,32.0
2.1,32.0
2.0,32.0
1.6,32.0
1.6,32.0
1.9,32.0
2.5,32.0
2.2,32.0
2.3,32.0
2.2,32.0
2.2,32.0
2.1,32.0
2.1,32.0
2.2,32.0
2.5,32.0
2.4,32.0
2.4,32.0
2.4,32.0
2.5,32.0
2.4,32.0
2.3,32.0
2.3,32.0
1.9,32.0
1.7,32.0
1.4,32.0
1.2,32.0
1.0,32.0
1.2,32.0
1.2,32.0
1.2,32.0
1.4,32.0
1.8,32.0
2.0,32.0
2.2,32.0
2.2,32.0
2.2,32.0
2.4,32.0
2.8,32.0
2.6,32.0
2.6,32.0
2.6,32.0
2.7,32.0
2.6,32.0
2.7,32.0
2.8,32.0
2.9,32.0
2.9,32.0
3.2,32.0
3.3,32.0
3.4,32.0
3.3,32.0
3.7,43.20000000000001
3.6,37.60000000000001
3.5,32.0
3.2,32.0
3.1,32.0
3.2,32.0
3.1,32.0
3.0,32.0
2.8,32.0
2.6,32.0
2.7,32.0
2.6,32.0
2.5,32.0
2.5,32.0
2.3,32.0
2.2,32.0
1.9,32.0
1.4,32.0
1.5,32.0
1.5,32.0
1.7,32.0
1.6,32.0
1.6,32.0
1.8,32.0
1.8,32.0
2.0,32.0
2.0,32.0
1.8,32.0
1.8,32.0
2.0,32.0
1.8,32.0
1.8,32.0
1.7,32.0
1.8,32.0
1.6,32.0
1.6,32.0
1.7,32.0
1.7,32.0
1.8,32.0
1.9,32.0
1.9,32.0
2.0,32.0
2.3,32.0
2.5,32.0
2.8,32.0
2.9,32.0
2.9,32.0
3.1,32.0
3.0,32.0
2.6,32.0
2.8,32.0
2.6,32.0
2.7,32.0
2.8,32.0
2.9,32.0
2.6,32.0
2.3,32.0
2.2,32.0
2.8,32.0
2.8,32.0
2.1,32.0
1.9,32.0
2.1,32.0
2.0,32.0
1.9,32.0
2.7,32.0
2.7,32.0
2.8,32.0
2.5,32.0
2.3,32.0
2.4,32.0
2.2,32.0
2.0,32.0
2.1,32.0
2.0,32.0
2.5,32.0
2.5,32.0
2.3,32.0
2.1,32.0
1.9,32.0
2.2,32.0
2.2,32.0
1.2,32.0
1.6,32.0
1.4,32.0
1.3,32.0
2.1,32.0
2.0,32.0
1.4,32.0
2.6,32.0
1.8,32.0
2.2,32.0
2.6,32.0
4.4,96.00000000000003
5.2,175.60000000000002
5.2,175.60000000000002
5.6,228.19999999999996
5.8,256.59999999999997
6.0,285.0
6.1,300.79999999999995
6.0,285.0
6.0,285.0
5.8,256.59999999999997
5.8,256.59999999999997
6.3,332.4
6.6,382.19999999999993
6.6,382.19999999999993
6.6,382.19999999999993
5.7,242.40000000000003
6.0,285.0
6.7,400.40000000000003
7.0,455.0
6.9,436.80000000000007
6.8,418.59999999999997
7.3,530.0
8.0,701.0
8.0,701.0
7.9,676.8000000000001
8.2,761.3999999999997
8.0,701.0
8.0,701.0
8.9,964.8000000000001
8.8,936.6000000000001
8.2,761.3999999999997
8.1,731.1999999999999
8.6,880.1999999999999
9.4,1104.2
9.9,1239.2
9.7,1185.6
9.8,1212.4
9.6,1158.8
9.5,1132.0
9.5,1132.0
9.0,993.0
7.9,676.8000000000001
7.8,652.5999999999999
7.1,479.9999999999999
7.4,555.0000000000001
7.5,580.0
8.1,731.1999999999999
7.7,628.4000000000001
8.8,936.6000000000001
8.9,964.8000000000001
8.6,880.1999999999999
8.6,880.1999999999999
8.5,852.0
9.4,1104.2
9.0,993.0
8.8,936.6000000000001
9.4,1104.2
8.8,936.6000000000001
8.7,908.3999999999997
9.0,993.0
9.2,1048.6
9.6,1158.8
10.0,1266.0
10.3,1353.6000000000001
10.3,1353.6000000000001
9.5,1132.0
9.9,1239.2
9.5,1132.0
8.9,964.8000000000001
9.5,1132.0
10.2,1324.3999999999999
10.1,1295.1999999999998
10.4,1382.8000000000002
10.2,1324.3999999999999
10.1,1295.1999999999998
9.3,1076.4
9.4,1104.2
9.0,993.0
9.4,1104.2
9.4,1104.2
9.8,1212.4
9.8,1212.4
9.9,1239.2
9.4,1104.2
9.6,1158.8
8.0,701.0
7.0,455.0
6.5,364.0
7.0,455.0
6.9,436.80000000000007
6.9,436.80000000000007
6.6,382.19999999999993
6.7,400.40000000000003
5.2,175.60000000000002
5.8,256.59999999999997
5.0,150.0
4.6,113.99999999999997
4.5,105.0
4.1,68.99999999999997
3.5,32.0
3.3,32.0
3.1,32.0
2.9,32.0
3.1,32.0
2.5,32.0
2.7,32.0
3.3,32.0
3.5,32.0
3.6,37.60000000000001
3.8,48.79999999999999
4.1,68.99999999999997
3.2,32.0
3.2,32.0
3.6,37.60000000000001
3.2,32.0
3.4,32.0
3.3,32.0
3.7,43.20000000000001
3.7,43.20000000000001
3.9,54.39999999999999
4.3,86.99999999999999
4.9,141.00000000000003
4.7,123.00000000000001
6.2,316.6
5.9,270.80000000000007
6.0,285.0
5.9,270.80000000000007
6.3,332.4
5.7,242.40000000000003
6.9,436.80000000000007
9.0,993.0
9.4,1104.2
9.6,1158.8
8.9,964.8000000000001
9.0,993.0
9.1,1020.8
9.1,1020.8
9.8,1212.4
10.3,1353.6000000000001
9.3,1076.4
10.7,1468.9999999999998
11.1,1576.6
10.9,1526.0
10.4,1382.8000000000002
11.1,1576.6
11.3,1620.8000000000002
11.1,1576.6
9.9,1239.2
10.2,1324.3999999999999
9.6,1158.8
9.2,1048.6
9.7,1185.6
10.5,1412.0
10.8,1497.5000000000002
9.9,1239.2
9.3,1076.4
9.6,1158.8
10.0,1266.0
9.4,1104.2
9.3,1076.4
8.9,964.8000000000001
8.7,908.3999999999997
9.1,1020.8
9.5,1132.0
9.2,1048.6
8.6,880.1999999999999
7.6,604.1999999999999
8.1,731.1999999999999
8.1,731.1999999999999
8.9,964.8000000000001
9.7,1185.6
8.5,852.0
8.5,852.0
7.6,604.1999999999999
8.3,791.6000000000003
8.6,880.1999999999999
7.4,555.0000000000001
8.2,761.3999999999997
9.5,1132.0
8.6,880.1999999999999
8.2,761.3999999999997
8.0,701.0
7.0,455.0
9.0,993.0
9.0,993.0
8.4,821.8000000000001
9.6,1158.8
8.8,936.6000000000001
8.8,936.6000000000001
8.0,701.0
8.3,791.6000000000003
7.9,676.8000000000001
7.7,628.4000000000001
8.3,791.6000000000003
7.1,479.9999999999999
6.9,436.80000000000007
8.1,731.1999999999999
7.8,652.5999999999999
7.7,628.4000000000001
5.8,256.59999999999997
5.5,214.0
5.7,242.40000000000003
6.5,364.0
5.8,256.59999999999997
3.0,32.0
3.4,32.0
5.1,162.79999999999995
5.4,201.20000000000005
3.7,43.20000000000001
3.7,43.20000000000001
3.4,32.0
3.4,32.0
3.2,32.0
4.0,60.0
3.5,32.0
3.7,43.20000000000001
3.3,32.0
3.1,32.0
2.5,32.0
2.3,32.0
2.3,32.0
3.3,32.0
3.3,32.0
2.8,32.0
4.1,68.99999999999997
2.9,32.0
3.5,32.0
5.1,162.79999999999995
5.8,256.59999999999997
5.7,242.40000000000003
5.5,214.0
5.6,228.19999999999996
6.4,348.20000000000005
6.4,348.20000000000005
5.6,228.19999999999996
6.0,285.0
6.4,348.20000000000005
6.9,436.80000000000007
6.2,316.6
5.8,256.59999999999997
5.8,256.59999999999997
5.9,270.80000000000007
6.5,364.0
7.8,652.5999999999999
7.8,652.5999999999999
8.2,761.3999999999997
8.6,880.1999999999999
8.1,731.1999999999999
8.0,701.0
7.8,652.5999999999999
7.5,580.0
8.1,731.1999999999999
8.0,701.0
7.9,676.8000000000001
8.4,821.8000000000001
9.4,1104.2
9.8,1212.4
9.4,1104.2
8.4,821.8000000000001
8.5,852.0
8.3,791.6000000000003
8.5,852.0
8.8,936.6000000000001
9.0,993.0
9.2,1048.6
9.4,1104.2
9.0,993.0
9.2,1048.6
9.4,1104.2
9.0,993.0
9.2,1048.6
9.0,993.0
8.1,731.1999999999999
8.3,791.6000000000003
7.8,652.5999999999999
7.2,505.00000000000006
6.7,400.40000000000003
6.5,364.0
6.4,348.20000000000005
6.6,382.19999999999993
6.5,364.0
5.8,256.59999999999997
6.1,300.79999999999995
5.7,242.40000000000003
5.3,188.39999999999998
2.0,32.0
1.7,32.0
1.5,32.0
1.3,32.0
1.1,32.0
1.2,32.0
1.0,32.0
1.3,32.0
1.1,32.0
1.0,32.0
2.1,32.0
2.9,32.0
2.8,32.0
3.1,32.0
3.1,32.0
3.7,43.20000000000001
5.1,162.79999999999995
5.9,270.80000000000007
5.9,270.80000000000007
6.7,400.40000000000003
6.9,436.80000000000007
8.2,761.3999999999997
7.4,555.0000000000001
6.9,436.80000000000007
7.8,652.5999999999999
7.8,652.5999999999999
6.4,348.20000000000005
5.1,162.79999999999995
5.0,150.0
5.1,162.79999999999995
4.7,123.00000000000001
4.3,86.99999999999999
4.1,68.99999999999997
4.5,105.0
2.9,32.0
2.3,32.0
3.8,48.79999999999999
4.0,60.0
3.4,32.0
3.5,32.0
3.1,32.0
2.5,32.0
2.0,32.0
1.9,32.0
2.1,32.0
2.6,32.0
4.4,96.00000000000003
4.8,132.0
5.9,270.80000000000007
6.7,400.40000000000003
7.5,580.0
7.5,580.0
7.0,455.0
6.2,316.6
7.0,455.0
7.0,455.0
6.4,348.20000000000005
6.3,332.4
5.7,242.40000000000003
5.5,214.0
5.4,201.20000000000005
4.8,132.0
4.5,105.0
3.5,32.0
3.8,48.79999999999999
4.0,60.0
3.4,32.0
3.2,32.0
3.3,32.0
3.3,32.0
3.5,32.0
3.3,32.0
3.1,32.0
2.8,32.0
3.0,32.0
2.7,32.0
2.4,32.0
3.6,37.60000000000001
3.6,37.60000000000001
2.9,32.0
2.9,32.0
2.6,32.0
2.5,32.0
2.6,32.0
4.5,105.0
3.6,37.60000000000001
4.5,105.0
5.3,188.39999999999998
3.6,37.60000000000001
3.3,32.0
3.8,48.79999999999999
4.9,141.00000000000003
4.6,113.99999999999997
6.6,382.19999999999993
6.9,436.80000000000007
7.1,479.9999999999999
5.9,270.80000000000007
6.8,418.59999999999997
8.1,731.1999999999999
5.9,270.80000000000007
5.5,214.0
6.2,316.6
6.9,436.80000000000007
5.7,242.40000000000003
5.1,162.79999999999995
5.2,175.60000000000002
5.5,214.0
4.8,132.0
5.4,201.20000000000005
7.5,580.0
8.3,791.6000000000003
7.5,580.0
6.0,285.0
5.1,162.79999999999995
5.7,242.40000000000003
7.4,555.0000000000001
5.5,214.0
5.7,242.40000000000003
5.5,214.0
7.0,455.0
5.7,242.40000000000003
4.9,141.00000000000003
5.5,214.0
6.2,316.6
6.2,316.6
6.8,418.59999999999997
6.3,332.4
6.7,400.40000000000003
6.6,382.19999999999993
6.4,348.20000000000005
6.5,364.0
6.9,436.80000000000007
6.5,364.0
5.7,242.40000000000003
5.9,270.80000000000007
5.4,201.20000000000005
5.4,201.20000000000005
5.5,214.0
5.5,214.0
5.2,175.60000000000002
5.3,188.39999999999998
4.6,113.99999999999997
5.0,150.0
5.6,228.19999999999996
5.0,150.0
4.7,123.00000000000001
4.3,86.99999999999999
5.3,188.39999999999998
5.4,201.20000000000005
5.3,188.39999999999998
5.1,162.79999999999995
5.1,162.79999999999995
5.4,201.20000000000005
4.8,132.0
4.2,78.00000000000001
4.9,141.00000000000003
5.4,201.20000000000005
5.9,270.80000000000007
5.2,175.60000000000002
5.7,242.40000000000003
5.2,175.60000000000002
5.7,242.40000000000003
6.1,300.79999999999995
5.4,201.20000000000005
5.0,150.0
4.7,123.00000000000001
4.6,113.99999999999997
4.2,78.00000000000001
4.2,78.00000000000001
4.1,68.99999999999997
4.2,78.00000000000001
4.2,78.00000000000001
3.8,48.79999999999999
3.8,48.79999999999999
3.8,48.79999999999999
3.5,32.0
3.7,43.20000000000001
2.8,32.0
2.5,32.0
2.2,32.0
1.6,32.0
1.9,32.0
2.2,32.0
2.4,32.0
2.7,32.0
3.0,32.0
2.8,32.0
3.7,43.20000000000001
3.6,37.60000000000001
3.7,43.20000000000001
2.9,32.0
2.2,32.0
2.6,32.0
3.8,48.79999999999999
3.6,37.60000000000001
3.7,43.20000000000001
4.3,86.99999999999999
3.7,43.20000000000001
4.1,68.99999999999997
3.8,48.79999999999999
4.4,96.00000000000003
4.4,96.00000000000003
4.9,141.00000000000003
5.3,188.39999999999998
5.7,242.40000000000003
5.0,150.0
5.0,150.0
5.1,162.79999999999995
5.7,242.40000000000003
5.4,201.20000000000005
5.3,188.39999999999998
5.3,188.39999999999998
3.1,32.0
2.7,32.0
2.8,32.0
1.9,32.0
2.0,32.0
4.0,60.0
4.9,141.00000000000003
5.3,188.39999999999998
5.9,270.80000000000007
5.6,228.19999999999996
5.7,242.40000000000003
6.0,285.0
5.7,242.40000000000003
5.7,242.40000000000003
6.1,300.79999999999995
6.0,285.0
7.5,580.0
7.3,530.0
6.3,332.4
7.0,455.0
6.0,285.0
6.2,316.6
6.4,348.20000000000005
5.7,242.40000000000003
5.1,162.79999999999995
5.0,150.0
4.9,141.00000000000003
6.2,316.6
5.8,256.59999999999997
5.0,150.0
3.1,32.0
2.5,32.0
2.5,32.0
2.2,32.0
4.1,68.99999999999997
4.9,141.00000000000003
3.2,32.0
4.7,123.00000000000001
1.9,32.0
2.2,32.0
2.4,32.0
2.3,32.0
2.7,32.0
3.7,43.20000000000001
2.1,32.0
1.9,32.0
2.1,32.0
2.1,32.0
2.1,32.0
2.0,32.0
1.9,32.0
2.1,32.0
2.1,32.0
2.9,32.0
4.4,96.00000000000003
5.1,162.79999999999995
6.0,285.0
5.8,256.59999999999997
5.9,270.80000000000007
6.6,382.19999999999993
6.2,316.6
6.3,332.4
5.7,242.40000000000003
6.0,285.0
6.3,332.4
6.0,285.0
5.9,270.80000000000007
6.5,364.0
7.2,505.00000000000006
8.1,731.1999999999999
8.8,936.6000000000001
8.6,880.1999999999999
9.1,1020.8
9.8,1212.4
10.3,1353.6000000000001
10.0,1266.0
9.6,1158.8
9.1,1020.8
9.5,1132.0
8.8,936.6000000000001
7.9,676.8000000000001
7.7,628.4000000000001
7.9,676.8000000000001
8.7,908.3999999999997
9.5,1132.0
9.7,1185.6
9.4,1104.2
9.5,1132.0
9.4,1104.2
9.0,993.0
8.9,964.8000000000001
9.5,1132.0
9.3,1076.4
10.0,1266.0
10.5,1412.0
10.5,1412.0
10.7,1468.9999999999998
11.3,1620.8000000000002
11.4,1642.9
11.7,1717.9999999999998
12.0,1797.5
12.0,1797.5
12.2,1853.6999999999998
11.6,1691.5
13.0,1992.5
13.0,1992.5
12.9,1981.6000000000001
12.8,1970.7
12.0,1797.5
12.2,1853.6999999999998
11.5,1665.0
11.4,1642.9
11.8,1744.5000000000002
10.0,1266.0
11.3,1620.8000000000002
12.1,1825.6
12.1,1825.6
11.1,1576.6
11.3,1620.8000000000002
11.8,1744.5000000000002
12.6,1948.8999999999999
13.1,2004.0
